trial,value,state,model.beta,model.threshold,trainer.feedback_scale,trainer.lr
0,0.6212121212121212,COMPLETE,0.9390788489441669,1.0986584841970366,1.9063571821788408,0.00031489116479568613
1,0.38257575757575757,COMPLETE,0.8110358863119579,1.366176145774935,0.39638958863878504,4.207988669606632e-05
2,0.09090909090909091,COMPLETE,0.8039110539162025,1.4699098521619942,1.4453378978124864,0.002537815508265664
3,0.09090909090909091,COMPLETE,0.8345467437693491,0.6834045098534338,0.5034443102887247,0.021368329072358756
4,0.6553030303030303,COMPLETE,0.882069553542002,0.7912291401980419,1.097037220101252,0.00016480446427978953
5,0.09090909090909091,PRUNED,0.8555074832216915,0.8663618432936917,0.3650383352388795,0.0028016351587162596
6,0.6515151515151515,COMPLETE,0.8379380186100884,1.0142344384136117,1.5918343266467259,0.0006672367170464204
7,0.23484848484848486,PRUNED,0.9154335218612732,0.6705241236872915,0.18825578416799568,0.00234238498471129
8,0.17803030303030304,PRUNED,0.9834700862841663,1.3083973481164612,1.9028825207813331,1.8205657658407255e-05
9,0.6515151515151515,COMPLETE,0.9300042750373099,0.9401524937396013,0.2855770166121293,0.00016536937182824412
