trial,value,state,model.beta,model.threshold,trainer.feedback_scale,trainer.lr
0,0.06664874001229257,PRUNED,0.9390788489441669,1.0986584841970366,1.9063571821788408,0.00031489116479568613
1,0.06699446834665028,PRUNED,0.8110358863119579,1.366176145774935,0.39638958863878504,4.207988669606632e-05
2,0.06699446834665028,PRUNED,0.8039110539162025,1.4699098521619942,1.4453378978124864,0.002537815508265664
3,0.06699446834665028,PRUNED,0.8345467437693491,0.6834045098534338,0.5034443102887247,0.021368329072358756
4,0.07821143208358942,PRUNED,0.882069553542002,0.7912291401980419,1.097037220101252,0.00016480446427978953
5,0.06699446834665028,PRUNED,0.8555074832216915,0.8663618432936917,0.3650383352388795,0.0028016351587162596
6,0.06699446834665028,PRUNED,0.8379380186100884,1.0142344384136117,1.5918343266467259,0.0006672367170464204
7,0.06699446834665028,PRUNED,0.9154335218612732,0.6705241236872915,0.18825578416799568,0.00234238498471129
8,0.0669560540872772,PRUNED,0.9834700862841663,1.3083973481164612,1.9028825207813331,1.8205657658407255e-05
9,0.06430547019053473,PRUNED,0.9300042750373099,0.9401524937396013,0.2855770166121293,0.00016536937182824412
10,0.06699446834665028,PRUNED,0.8816956677159246,0.5179618756148197,0.842783817230284,0.06033178530661228
11,0.06699446834665028,PRUNED,0.8025330040272065,1.2297298235185923,0.946939560456327,3.064223476135988e-05
12,0.10656115550092195,PRUNED,0.8828547985500141,0.7719542240470412,1.315766743576158,7.743598425279146e-05
13,0.07533036263060848,PRUNED,0.8875686615219832,0.764982586701976,1.2725525834455846,0.00011264360899924693
14,0.07271819299323909,PRUNED,0.8657426358190256,0.5104676671511728,1.2085335445795233,1.2031776023023777e-05
15,0.1166641057160418,PRUNED,0.9012567077355605,0.8122963177601592,0.7177708144715039,6.904877262910522e-05
16,0.06745543945912723,PRUNED,0.9080868346319347,1.109517438275028,0.6319506996461709,5.5523024550352545e-05
17,0.06856945298094652,PRUNED,0.9538935642623432,0.645634224505852,0.7613845467237101,0.0005599668866159779
18,0.0678779963122311,PRUNED,0.9065158082088909,0.8826934167211394,1.5659938899972472,7.436044482217776e-05
19,0.06699446834665028,PRUNED,0.9647945407949697,1.0265997485983485,0.6765479716882602,0.008304993906265249
20,0.0686078672403196,PRUNED,0.9268631002559569,0.7942416004428992,1.0034193537893903,0.0002947919017939939
21,0.07486939151813153,PRUNED,0.8894575773141064,0.7811298608339743,1.138878732758206,0.00019204398733510932
22,0.29955439459127225,COMPLETE,0.8674043933507224,0.6193925875915673,1.3746732186386261,8.84056082219224e-05
23,0.07867240319606637,PRUNED,0.8607757889834087,0.603978813839795,1.4295980731926785,2.4898852934982847e-05
24,0.07187307928703135,PRUNED,0.842708469466697,0.5739679985272457,1.688538348076114,1.0100580257668717e-05
25,0.13617854947756608,PRUNED,0.868094154110203,0.7132833356311221,1.2955628136728148,7.727172788546933e-05
26,0.06699446834665028,PRUNED,0.8697039097249314,0.7144697796788183,0.9178589575168604,0.001006191941018559
27,0.06515058389674247,PRUNED,0.9012595189464054,0.9359243630796039,1.7408166135139573,3.792225361254765e-05
28,0.06699446834665028,PRUNED,0.8294862402145772,0.856703969708071,1.3688056542097753,0.001200276490335181
29,0.129840196681008,PRUNED,0.8529880645074103,0.5901740529474278,1.9079861530913487,0.00037163836806135595
