trial,value,state,model.beta,model.threshold,trainer.etrace_decay,trainer.gamma,trainer.lr
0,0.088,PRUNED,0.9137451119974369,0.6560186404424365,0.9658500101408589,0.685595153449124,0.00031489116479568613
1,0.085,PRUNED,0.9142118522312097,1.2080725777960455,0.5284609699624178,0.7929409166199481,4.207053950287933e-05
2,0.087,PRUNED,0.8403444310288725,0.6818249672071006,0.9752558275593772,0.7659541126403374,1.2087541473056957e-05
3,0.085,PRUNED,0.882069553542002,0.7912291401980419,0.6490786990501735,0.5198051453057903,5.415244119402538e-05
4,0.101,PRUNED,0.8696087502258014,0.9560699842170359,0.5683519917195005,0.3337157188281745,0.0028016351587162596
5,0.085,PRUNED,0.9125587680837881,0.5464504127199977,0.5978401532575963,0.5113875507308893,0.013826232179369865
6,0.104,PRUNED,0.9802882520781333,1.4656320330745594,0.5835568206067728,0.15204127438822362,0.0026926469100861782
7,0.085,PRUNED,0.9300042750373099,0.9401524937396013,0.6492607468949516,0.1781376912051071,0.01712337597316398
8,0.087,PRUNED,0.9727708763949686,0.7587799816000169,0.7426366859545224,0.12751081689217472,3.077180271250682e-05
9,0.086,PRUNED,0.9038749530752231,0.684854455525527,0.6527384272838114,0.5160544169422486,0.004467752817973905
10,0.085,PRUNED,0.9814775175179065,1.483896235420326,0.8429387548615827,0.30269594278646106,0.06607883189474446
11,0.181,COMPLETE,0.8148572923518707,1.202529802131584,0.5063787691778685,0.3268126240434303,0.0011004938211129575
12,0.191,COMPLETE,0.809844088118673,1.3590323345352222,0.5046050187811219,0.30358962634246073,0.0009140667672718598
13,0.119,PRUNED,0.8014831955821003,1.2221125216635063,0.5053012125093655,0.34632693731148617,0.00042625841330520635
14,0.146,PRUNED,0.8086292483301951,1.2719240123800712,0.7476115227425357,0.39014583959598076,0.00042424525568642555
15,0.087,PRUNED,0.8356311999723398,1.3315098295058825,0.5015457672387382,0.2460904580007074,0.00015542710779757168
16,0.137,PRUNED,0.8320641228436328,1.0977785911348796,0.7284943652310079,0.41891742831265466,0.0013885081906579748
17,0.145,PRUNED,0.857453759699628,1.0644260299640178,0.8576190664705337,0.2545066730824992,0.001144179133211079
18,0.087,PRUNED,0.8193213447410724,1.3775659556057025,0.5717866307592312,0.6379652704082454,0.00796137002335398
19,0.085,PRUNED,0.8528761804588206,1.1404278584766243,0.692603382766177,0.8754158816389743,0.051749734530643195
